Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
batch1_chrI_1	(24, 4.0)	(26, 19.0)	(28, 28.0)	(30, 14.0)	(32, 13.0)	(34, 18.0)	(36, 23.0)	(38, 18.0)	(40, 28.0)	(42, 32.0)	(44, 34.0)	(46, 47.0)	(48, 60.0)	(50, 55.0)	(52, 61.0)	(54, 75.0)	(56, 62.0)	(58, 75.0)	(60, 103.0)	(62, 140.0)	(64, 142.0)	(66, 136.0)	(68, 129.0)	(70, 138.0)	(72, 152.0)	(74, 179.0)	(76, 157.0)	(78, 198.0)	(80, 229.0)	(82, 252.0)	(84, 317.0)	(86, 366.0)	(88, 384.0)	(90, 493.0)	(92, 633.0)	(94, 785.0)	(96, 1152.0)	(98, 1656.0)	(100, 35643.0)
batch1_chrI_2	(24, 19.0)	(26, 63.0)	(28, 67.0)	(30, 77.0)	(32, 73.0)	(34, 80.0)	(36, 86.0)	(38, 106.0)	(40, 103.0)	(42, 135.0)	(44, 167.0)	(46, 183.0)	(48, 176.0)	(50, 191.0)	(52, 200.0)	(54, 206.0)	(56, 260.0)	(58, 334.0)	(60, 349.0)	(62, 430.0)	(64, 456.0)	(66, 475.0)	(68, 476.0)	(70, 628.0)	(72, 631.0)	(74, 710.0)	(76, 729.0)	(78, 763.0)	(80, 933.0)	(82, 1022.0)	(84, 1090.0)	(86, 1254.0)	(88, 1486.0)	(90, 1645.0)	(92, 1867.0)	(94, 2078.0)	(96, 2321.0)	(98, 2793.0)	(100, 19388.0)
batch2_chrI_1	(24, 9.0)	(26, 27.0)	(28, 32.0)	(30, 28.0)	(32, 41.0)	(34, 32.0)	(36, 40.0)	(38, 49.0)	(40, 49.0)	(42, 57.0)	(44, 70.0)	(46, 68.0)	(48, 77.0)	(50, 109.0)	(52, 120.0)	(54, 103.0)	(56, 144.0)	(58, 129.0)	(60, 172.0)	(62, 225.0)	(64, 241.0)	(66, 250.0)	(68, 226.0)	(70, 231.0)	(72, 262.0)	(74, 308.0)	(76, 257.0)	(78, 341.0)	(80, 364.0)	(82, 470.0)	(84, 512.0)	(86, 564.0)	(88, 659.0)	(90, 752.0)	(92, 1033.0)	(94, 1294.0)	(96, 1800.0)	(98, 2685.0)	(100, 46070.0)
batch2_chrI_2	(24, 27.0)	(26, 70.0)	(28, 62.0)	(30, 65.0)	(32, 55.0)	(34, 86.0)	(36, 97.0)	(38, 98.0)	(40, 120.0)	(42, 144.0)	(44, 164.0)	(46, 179.0)	(48, 190.0)	(50, 197.0)	(52, 228.0)	(54, 224.0)	(56, 261.0)	(58, 274.0)	(60, 370.0)	(62, 469.0)	(64, 459.0)	(66, 519.0)	(68, 525.0)	(70, 558.0)	(72, 630.0)	(74, 714.0)	(76, 758.0)	(78, 794.0)	(80, 901.0)	(82, 1120.0)	(84, 1143.0)	(86, 1316.0)	(88, 1448.0)	(90, 1811.0)	(92, 2038.0)	(94, 2443.0)	(96, 2810.0)	(98, 3576.0)	(100, 32957.0)
batch3_chrI_1	(24, 7.0)	(26, 19.0)	(28, 15.0)	(30, 14.0)	(32, 32.0)	(34, 18.0)	(36, 21.0)	(38, 32.0)	(40, 37.0)	(42, 42.0)	(44, 43.0)	(46, 45.0)	(48, 49.0)	(50, 53.0)	(52, 61.0)	(54, 66.0)	(56, 80.0)	(58, 76.0)	(60, 108.0)	(62, 141.0)	(64, 129.0)	(66, 165.0)	(68, 152.0)	(70, 153.0)	(72, 154.0)	(74, 148.0)	(76, 136.0)	(78, 216.0)	(80, 219.0)	(82, 236.0)	(84, 278.0)	(86, 355.0)	(88, 420.0)	(90, 507.0)	(92, 574.0)	(94, 793.0)	(96, 1176.0)	(98, 1727.0)	(100, 38278.0)
batch3_chrI_2	(24, 39.0)	(26, 72.0)	(28, 62.0)	(30, 77.0)	(32, 60.0)	(34, 75.0)	(36, 118.0)	(38, 109.0)	(40, 136.0)	(42, 144.0)	(44, 184.0)	(46, 207.0)	(48, 234.0)	(50, 196.0)	(52, 266.0)	(54, 279.0)	(56, 307.0)	(58, 331.0)	(60, 404.0)	(62, 427.0)	(64, 516.0)	(66, 567.0)	(68, 572.0)	(70, 659.0)	(72, 689.0)	(74, 806.0)	(76, 858.0)	(78, 896.0)	(80, 1023.0)	(82, 1196.0)	(84, 1282.0)	(86, 1506.0)	(88, 1646.0)	(90, 1850.0)	(92, 2051.0)	(94, 2422.0)	(96, 2617.0)	(98, 2955.0)	(100, 18937.0)
chem1_chrI_1	(24, 5.0)	(26, 13.0)	(28, 14.0)	(30, 19.0)	(32, 17.0)	(34, 18.0)	(36, 20.0)	(38, 35.0)	(40, 28.0)	(42, 25.0)	(44, 34.0)	(46, 41.0)	(48, 46.0)	(50, 44.0)	(52, 63.0)	(54, 62.0)	(56, 63.0)	(58, 54.0)	(60, 115.0)	(62, 101.0)	(64, 126.0)	(66, 143.0)	(68, 138.0)	(70, 125.0)	(72, 126.0)	(74, 168.0)	(76, 130.0)	(78, 192.0)	(80, 208.0)	(82, 202.0)	(84, 243.0)	(86, 294.0)	(88, 347.0)	(90, 450.0)	(92, 540.0)	(94, 633.0)	(96, 1076.0)	(98, 1457.0)	(100, 30910.0)
chem1_chrI_2	(24, 16.0)	(26, 45.0)	(28, 57.0)	(30, 49.0)	(32, 50.0)	(34, 60.0)	(36, 68.0)	(38, 79.0)	(40, 105.0)	(42, 111.0)	(44, 131.0)	(46, 137.0)	(48, 158.0)	(50, 149.0)	(52, 164.0)	(54, 175.0)	(56, 204.0)	(58, 256.0)	(60, 274.0)	(62, 324.0)	(64, 378.0)	(66, 404.0)	(68, 408.0)	(70, 394.0)	(72, 471.0)	(74, 573.0)	(76, 623.0)	(78, 617.0)	(80, 744.0)	(82, 839.0)	(84, 945.0)	(86, 1103.0)	(88, 1156.0)	(90, 1308.0)	(92, 1536.0)	(94, 1674.0)	(96, 2014.0)	(98, 2328.0)	(100, 18198.0)
chem2_chrI_1	(24, 4.0)	(26, 16.0)	(28, 15.0)	(30, 23.0)	(32, 21.0)	(34, 15.0)	(36, 22.0)	(38, 25.0)	(40, 36.0)	(42, 42.0)	(44, 38.0)	(46, 46.0)	(48, 47.0)	(50, 53.0)	(52, 52.0)	(54, 71.0)	(56, 76.0)	(58, 77.0)	(60, 119.0)	(62, 136.0)	(64, 135.0)	(66, 161.0)	(68, 138.0)	(70, 158.0)	(72, 167.0)	(74, 197.0)	(76, 157.0)	(78, 188.0)	(80, 249.0)	(82, 278.0)	(84, 314.0)	(86, 372.0)	(88, 394.0)	(90, 514.0)	(92, 689.0)	(94, 888.0)	(96, 1302.0)	(98, 1875.0)	(100, 38052.0)
chem2_chrI_2	(24, 24.0)	(26, 55.0)	(28, 51.0)	(30, 60.0)	(32, 60.0)	(34, 64.0)	(36, 80.0)	(38, 88.0)	(40, 95.0)	(42, 124.0)	(44, 149.0)	(46, 165.0)	(48, 158.0)	(50, 159.0)	(52, 172.0)	(54, 199.0)	(56, 193.0)	(58, 264.0)	(60, 277.0)	(62, 339.0)	(64, 417.0)	(66, 436.0)	(68, 394.0)	(70, 458.0)	(72, 537.0)	(74, 523.0)	(76, 647.0)	(78, 713.0)	(80, 810.0)	(82, 863.0)	(84, 1033.0)	(86, 1188.0)	(88, 1326.0)	(90, 1536.0)	(92, 1767.0)	(94, 1979.0)	(96, 2415.0)	(98, 2844.0)	(100, 24500.0)
