# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/Saccharomyces_cerevisiae.R64-1-1.61.gtf" "-o" "feature-count/counts.txt" "-t" "exon" "-g" "gene_id" "mapped/batch1_chrI.sam" "mapped/batch2_chrI.sam" "mapped/batch3_chrI.sam" "mapped/chem1_chrI.sam" "mapped/chem2_chrI.sam" "mapped/chem3_chrI.sam" "-p" 
Geneid	Chr	Start	End	Strand	Length	mapped/batch1_chrI.sam	mapped/batch2_chrI.sam	mapped/batch3_chrI.sam	mapped/chem1_chrI.sam	mapped/chem2_chrI.sam	mapped/chem3_chrI.sam
YDL246C	IV	8683	9756	-	1074	0	0	0	0	0	0
YDL243C	IV	17577	18566	-	990	0	0	0	0	0	0
YDR387C	IV	1248154	1249821	-	1668	0	0	0	0	0	0
YDL094C	IV	289572	290081	-	510	0	0	0	0	0	0
YDR438W	IV	1338274	1339386	+	1113	0	0	0	0	0	0
YDR523C	IV	1485566	1487038	-	1473	0	0	0	0	0	0
YDR542W	IV	1523249	1523611	+	363	0	0	0	0	0	0
YDR492W	IV	1434924	1435874	+	951	0	0	0	0	0	0
YDR018C	IV	482670	483860	-	1191	0	0	0	0	0	0
YDL189W	IV	122216	123589	+	1374	0	0	0	0	0	0
YDR508C	IV	1466453	1468444	-	1992	0	0	0	0	0	0
YDR462W	IV	1386073	1386516	+	444	0	0	0	0	0	0
YDR175C	IV	813193	814152	-	960	0	0	0	0	0	0
YDR186C	IV	832859	835492	-	2634	0	0	0	0	0	0
YDR150W	IV	755628	763874	+	8247	0	0	0	0	0	0
YDR243C	IV	948518	950284	-	1767	0	0	0	0	0	0
YDL182W	IV	133437	134723	+	1287	0	0	0	0	0	0
YDR362C	IV	1196679	1198697	-	2019	0	0	0	0	0	0
YDR232W	IV	927452	929098	+	1647	0	0	0	0	0	0
YDR158W	IV	770357	771454	+	1098	0	0	0	0	0	0
YDR439W	IV	1339676	1340719	+	1044	0	0	0	0	0	0
YDL206W	IV	90176	92464	+	2289	0	0	0	0	0	0
YDR125C	IV	701397	702758	-	1362	0	0	0	0	0	0
YDR338C	IV	1147379	1149466	-	2088	0	0	0	0	0	0
YDR526C	IV	1491075	1491545	-	471	0	0	0	0	0	0
YDR533C	IV	1501447	1502160	-	714	0	0	0	0	0	0
YDR272W	IV	1009010	1009834	+	825	0	0	0	0	0	0
YDR197W	IV	851228	852397	+	1170	0	0	0	0	0	0
YDR512C	IV	1470500	1471063	-	564	0	0	0	0	0	0
YDR489W	IV	1431012	1431896	+	885	0	0	0	0	0	0
YDR299W	IV	1059627	1061231	+	1605	0	0	0	0	0	0
YDL015C	IV	426002	426934	-	933	0	0	0	0	0	0
YDR304C	IV	1071880	1072557	-	678	0	0	0	0	0	0
YDR271C	IV	1008395	1008766	-	372	0	0	0	0	0	0
YDL181W	IV	135179	135436	+	258	0	0	0	0	0	0
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	0	0	0	0	0	0
YDR085C	IV	614288	616150	-	1863	0	0	0	0	0	0
YDL097C	IV	285391	286695	-	1305	0	0	0	0	0	0
YDL139C	IV	211375	212046	-	672	0	0	0	0	0	0
YDR200C	IV	854279	856093	-	1815	0	0	0	0	0	0
YDR191W	IV	842337	843449	+	1113	0	0	0	0	0	0
YDR451C	IV	1361120	1362181	-	1062	0	0	0	0	0	0
YDR469W	IV	1399015	1399542	+	528	0	0	0	0	0	0
YDR470C	IV	1399706	1401214	-	1509	0	0	0	0	0	0
YDR105C	IV	665349	666770	-	1422	0	0	0	0	0	0
YDR483W	IV	1421157	1422485	+	1329	0	0	0	0	0	0
YDL123W	IV	241418	241840	+	423	0	0	0	0	0	0
YDL199C	IV	101290	103353	-	2064	0	0	0	0	0	0
YDR505C	IV	1456695	1459220	-	2526	0	0	0	0	0	0
YDL045W-A	IV	372248	372535	+	288	0	0	0	0	0	0
YDL045C	IV	372688	373608	-	921	0	0	0	0	0	0
YDR361C	IV	1195412	1196263	-	852	0	0	0	0	0	0
YDR406W-A	IV	1283799	1284044	+	246	0	0	0	0	0	0
YDR199W	IV	854175	854540	+	366	0	0	0	0	0	0
YDR266C	IV	1000104	1002023	-	1920	0	0	0	0	0	0
YDL242W	IV	18959	19312	+	354	0	0	0	0	0	0
YDR002W	IV	453045	453650	+	606	0	0	0	0	0	0
YDR214W	IV	892875	893927	+	1053	0	0	0	0	0	0
YDR130C	IV	715747	716622	-	876	0	0	0	0	0	0
YDL176W	IV	142097	144223	+	2127	0	0	0	0	0	0
