Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
batch1_chrI_1	(1.0, 38.66515323496027)	(2.0, 14.406356413166858)	(3.0, 8.124858115777526)	(4.0, 6.1021566401816125)	(5.0, 4.074914869466515)	(6.0, 3.5686719636776387)	(7.0, 2.7809307604994324)	(8.0, 2.778660612939841)	(9.0, 2.431328036322361)	('>10', 17.066969353007945)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
batch1_chrI_2	(1.0, 40.390465380249715)	(2.0, 13.947786606129398)	(3.0, 8.158910329171395)	(4.0, 5.2939841089670825)	(5.0, 4.256526674233825)	(6.0, 3.160045402951192)	(7.0, 3.2894438138479005)	(8.0, 2.488081725312145)	(9.0, 2.267877412031782)	('>10', 16.746878547105563)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
batch2_chrI_1	(1.0, 35.23873121869783)	(2.0, 13.662771285475795)	(3.0, 8.148580968280468)	(4.0, 5.742904841402337)	(5.0, 3.998330550918197)	(6.0, 3.7662771285475793)	(7.0, 2.8981636060100167)	(8.0, 2.323873121869783)	(9.0, 2.373956594323873)	('>10', 21.74290484140234)	('>50', 0.1035058430717863)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
batch2_chrI_2	(1.0, 36.23706176961603)	(2.0, 13.662771285475795)	(3.0, 8.153589315525876)	(4.0, 5.595993322203673)	(5.0, 4.273789649415693)	(6.0, 3.5158597662771283)	(7.0, 3.0968280467445743)	(8.0, 2.2704507512520866)	(9.0, 2.1936560934891483)	('>10', 20.881469115191987)	('>50', 0.11853088480801337)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
batch3_chrI_1	(1.0, 36.99625868519508)	(2.0, 13.75093532870123)	(3.0, 8.081239978621058)	(4.0, 5.840726884019241)	(5.0, 3.8802779262426506)	(6.0, 3.476215927311598)	(7.0, 3.082843399251737)	(8.0, 2.582576162479957)	(9.0, 2.693746659540353)	('>10', 19.615179048637092)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
batch3_chrI_2	(1.0, 39.36932121859968)	(2.0, 13.63121325494388)	(3.0, 7.587386424371993)	(4.0, 5.490112239444148)	(5.0, 4.051309460181721)	(6.0, 3.155531801175842)	(7.0, 2.9182255478353825)	(8.0, 2.3944414751469805)	(9.0, 2.1165152324959915)	('>10', 19.176910742918228)	('>50', 0.10903260288615713)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem1_chrI_1	(1.0, 43.016307893020226)	(2.0, 15.446836268754078)	(3.0, 9.111545988258317)	(4.0, 6.450097847358122)	(5.0, 4.67058056099152)	(6.0, 3.7416829745596867)	(7.0, 2.8310502283105023)	(8.0, 2.379647749510763)	(9.0, 1.9256360078277888)	('>10', 10.426614481409002)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem1_chrI_2	(1.0, 44.34442270058708)	(2.0, 15.144161774298762)	(3.0, 8.438356164383562)	(4.0, 6.3352902804957605)	(5.0, 4.461839530332681)	(6.0, 3.710371819960861)	(7.0, 3.0319634703196345)	(8.0, 2.5048923679060664)	(9.0, 2.0900195694716244)	('>10', 9.938682322243967)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem2_chrI_1	(1.0, 36.89198931343031)	(2.0, 13.748356727874137)	(3.0, 8.670115771171707)	(4.0, 5.911538950850261)	(5.0, 5.184258513209787)	(6.0, 4.007463635978118)	(7.0, 3.428607777447945)	(8.0, 2.391756074805988)	(9.0, 2.57622662312879)	('>10', 17.189686612102964)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem2_chrI_2	(1.0, 38.480132309910516)	(2.0, 13.688986896230016)	(3.0, 8.530172596581995)	(4.0, 5.928501759891438)	(5.0, 4.749586531529621)	(6.0, 3.880242568169289)	(7.0, 3.562189898647216)	(8.0, 2.493532929053051)	(9.0, 2.518977142614817)	('>10', 16.16767736737204)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem3_chrI_1	(1.0, 35.895542073331576)	(2.0, 14.163369383627892)	(3.0, 8.224742811922974)	(4.0, 6.2745098039215685)	(5.0, 4.818429613998065)	(6.0, 3.893431812186758)	(7.0, 3.606788006682494)	(8.0, 2.8840235645827836)	(9.0, 2.6431020838828805)	('>10', 17.59606084586301)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
chem3_chrI_2	(1.0, 37.381517629473315)	(2.0, 13.628769893607668)	(3.0, 8.509628066473226)	(4.0, 5.782115536797678)	(5.0, 4.879978897388551)	(6.0, 3.6402004748087573)	(7.0, 3.4590697265453265)	(8.0, 2.532313373780005)	(9.0, 2.801371669744131)	('>10', 17.385034731381342)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
