.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
batch1_chrI_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch1_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch2_chrI_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
batch2_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch3_chrI_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
batch3_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
chem1_chrI_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
chem1_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
chem2_chrI_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
chem2_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
chem3_chrI_1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
chem3_chrI_2	1	1	1	0.25	0.5	1	0.5	0.5	1	1
