Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
batch1_chrI_1	(1, 33.389534619750286)	(2, 33.57244040862656)	(3, 33.63897843359818)	(4, 36.77818388195233)	(5, 36.75802497162316)	(6, 36.75432463110102)	(7, 36.71916004540295)	(8, 36.7327809307605)	(9, 38.68644721906924)	(10, 38.672247446084)	(12, 38.64465380249716)	(14, 40.31195232690125)	(16, 40.25690124858116)	(18, 40.26489216799092)	(20, 40.22900113507378)	(22, 40.14581157775255)	(24, 40.07224744608399)	(26, 40.00021613472521)	(28, 40.02810099080084)	(30, 39.99295043538607)	(32, 39.90929025437414)	(34, 39.93478364575313)	(36, 39.907317646584005)	(38, 39.85284886617936)	(40, 39.79907507573419)	(42, 39.72359070382552)	(44, 39.64838059743431)	(46, 39.533252343826575)	(48, 39.41081252486479)	(50, 39.27387418051652)	(52, 39.08306141976934)	(54, 38.90877921819454)	(56, 38.710262650992206)	(58, 38.4155694063042)	(60, 38.07970092402887)	(62, 37.74899226203213)	(64, 37.29193842416249)	(66, 36.75897416207068)	(68, 36.24406765224876)	(70, 35.72774502410939)	(72, 35.22655676917078)	(74, 34.73182537870123)	(76, 33.9548869659516)	(78, 34.028101294012174)	(80, 33.72748151098895)	(82, 33.44826671132613)	(84, 33.17851809771567)	(86, 32.94163200592246)	(88, 32.7326874183381)	(90, 32.576864093354736)	(92, 32.392581300723904)	(94, 32.32480125685821)	(96, 32.33707532383136)	(98, 32.418401103964214)	(100, 31.950389995506775)
batch1_chrI_2	(1, 33.360749148694666)	(2, 33.5239046538025)	(3, 33.59262202043133)	(4, 36.772077185017025)	(5, 36.75028376844495)	(6, 36.74245175936436)	(7, 36.70326901248581)	(8, 36.70460839954597)	(9, 38.55125993189557)	(10, 38.488876276958)	(12, 38.4227695800227)	(14, 40.0205448354143)	(16, 39.98022701475596)	(18, 40.01138479001135)	(20, 39.955618615209985)	(22, 39.88041997729852)	(24, 39.76513053348468)	(26, 39.63452194582081)	(28, 39.5732815701984)	(30, 39.46627507083187)	(32, 39.33920202803104)	(34, 39.21984960409642)	(36, 39.07536950498472)	(38, 38.92046248341782)	(40, 38.8112920212437)	(42, 38.630967775981944)	(44, 38.4376529709116)	(46, 38.22275307353429)	(48, 37.95158598074172)	(50, 37.38181334521788)	(52, 37.38973983142205)	(54, 37.39693422413574)	(56, 37.164543897688276)	(58, 36.873376666490486)	(60, 36.48898653305203)	(62, 36.00335045430612)	(64, 35.442522568683806)	(66, 34.86914006880811)	(68, 34.28862506840177)	(70, 33.78891212938183)	(72, 33.22248632898603)	(74, 32.679766564363604)	(76, 32.16237192669253)	(78, 31.72345689396668)	(80, 31.394647484874078)	(82, 31.07507153572726)	(84, 30.794624664533373)	(86, 30.48342346309653)	(88, 30.31905665198049)	(90, 30.178339544425214)	(92, 29.996121168185667)	(94, 29.9166229563624)	(96, 30.05663973096494)	(98, 30.609820954808065)	(100, 30.573451411099406)
batch2_chrI_1	(1, 33.404507512520865)	(2, 33.57966611018364)	(3, 33.63404006677796)	(4, 36.755075125208684)	(5, 36.748180300500835)	(6, 36.75525876460768)	(7, 36.722988313856426)	(8, 36.734440734557595)	(9, 38.67846410684474)	(10, 38.660166944908184)	(12, 38.625826377295496)	(14, 40.26049248747913)	(16, 40.20334724540902)	(18, 40.24181969949916)	(20, 40.213171953255426)	(22, 40.13498330550918)	(24, 40.067153589315524)	(26, 40.00246434666157)	(28, 40.010333300795594)	(30, 39.99009208759813)	(32, 39.91338031161744)	(34, 39.89969138515897)	(36, 39.8432298983419)	(38, 39.77312065497738)	(40, 39.69869902168084)	(42, 39.59799732058584)	(44, 39.501575273028664)	(46, 39.38053923737519)	(48, 39.23516808642445)	(50, 39.06453438083196)	(52, 38.880572271206354)	(54, 38.666146404635235)	(56, 38.47368045686635)	(58, 38.17588038983469)	(60, 37.83531435581246)	(62, 37.47841986868524)	(64, 36.95422582258776)	(66, 36.41966877002134)	(68, 35.91559794138152)	(70, 35.39553861709352)	(72, 34.872636590144424)	(74, 34.37356273124209)	(76, 33.54097939542264)	(78, 33.63585384092763)	(80, 33.33021918963544)	(82, 33.10456288170907)	(84, 32.82619864938986)	(86, 32.5650163575293)	(88, 32.29762077813602)	(90, 32.128856078082784)	(92, 31.960523047669653)	(94, 31.89031605770454)	(96, 31.846408395745325)	(98, 31.978209236091217)	(100, 31.604019768741722)
batch2_chrI_2	(1, 33.36719532554257)	(2, 33.52539232053422)	(3, 33.590450751252085)	(4, 36.766010016694494)	(5, 36.74904841402337)	(6, 36.74888146911519)	(7, 36.7138898163606)	(8, 36.7084307178631)	(9, 38.57218697829716)	(10, 38.52326377295493)	(12, 38.46762103505843)	(14, 40.07328881469115)	(16, 40.02752921535893)	(18, 40.053472454090155)	(20, 40.0099081803005)	(22, 39.91661936560935)	(24, 39.838505843071786)	(26, 39.750204240519885)	(28, 39.71985828031221)	(30, 39.639316036206424)	(32, 39.534596425334975)	(34, 39.42348268236505)	(36, 39.31050372513325)	(38, 39.19452413869261)	(40, 39.08075597067302)	(42, 38.94035280235255)	(44, 38.7886671147254)	(46, 38.60897842115199)	(48, 38.40615986400395)	(50, 37.84097869638599)	(52, 37.827557840006584)	(54, 37.869893226605996)	(56, 37.673855181354185)	(58, 37.38346872221517)	(60, 37.038907134069674)	(62, 36.560396180860636)	(64, 36.0258226921661)	(66, 35.47996091679707)	(68, 34.90769754483746)	(70, 34.39941093717793)	(72, 33.85469426473918)	(74, 33.349063851573064)	(76, 32.8571420562636)	(78, 32.38028293656102)	(80, 32.0383498187021)	(82, 31.708788870895678)	(84, 31.397704462858144)	(86, 31.12098064715362)	(88, 30.885286246745963)	(90, 30.749083216869792)	(92, 30.581895108903037)	(94, 30.430572770324915)	(96, 30.491633842809485)	(98, 30.86347145298796)	(100, 30.791179226248317)
batch3_chrI_1	(1, 33.38184927846071)	(2, 33.57049706039551)	(3, 33.636215927311596)	(4, 36.78323890967397)	(5, 36.76235168359166)	(6, 36.75893105291288)	(7, 36.72848743987173)	(8, 36.7406306787814)	(9, 38.69939070016034)	(10, 38.683025120256545)	(12, 38.65370390165687)	(14, 40.32895777659006)	(16, 40.26982362373062)	(18, 40.28135756280064)	(20, 40.248444681988246)	(22, 40.156632816675575)	(24, 40.09298770710849)	(26, 40.02393962319728)	(28, 40.048497816473855)	(30, 40.00370975970626)	(32, 39.937763859362605)	(34, 39.97560320021432)	(36, 39.952905810783406)	(38, 39.90335163541971)	(40, 39.86367786569882)	(42, 39.774950547146915)	(44, 39.685267080881644)	(46, 39.58433813863145)	(48, 39.47383901752178)	(50, 39.30488123957157)	(52, 39.18195871652715)	(54, 38.97468419991023)	(56, 38.774125121661626)	(58, 38.497776959018836)	(60, 38.16855120364439)	(62, 37.818063482012256)	(64, 37.34779837316403)	(66, 36.84656751915196)	(68, 36.32444580107932)	(70, 35.80304297455082)	(72, 35.31152172110809)	(74, 34.797637156737835)	(76, 34.0155072503441)	(78, 34.0819899453756)	(80, 33.78674973688594)	(82, 33.56011842189284)	(84, 33.33286427439193)	(86, 33.08752289806414)	(88, 32.87138097214414)	(90, 32.71686283370833)	(92, 32.578217405200576)	(94, 32.47742186478966)	(96, 32.4674576475496)	(98, 32.54707162210128)	(100, 32.059790721772416)
batch3_chrI_2	(1, 33.3574772848744)	(2, 33.52359166221272)	(3, 33.5890539818279)	(4, 36.762159273115984)	(5, 36.750229823623734)	(6, 36.74039551042223)	(7, 36.69845002672368)	(8, 36.702896846606095)	(9, 38.5407803313736)	(10, 38.4912773917691)	(12, 38.412870122928915)	(14, 40.01183324425441)	(16, 39.98832709780866)	(18, 40.00099412079102)	(20, 39.94615713522181)	(22, 39.84349545697488)	(24, 39.72607161945484)	(26, 39.61631817623754)	(28, 39.51131578883036)	(30, 39.406279680914736)	(32, 39.27398311385687)	(34, 39.14274431137115)	(36, 38.99420776441217)	(38, 38.87149098097899)	(40, 38.72181647715151)	(42, 38.535872516022025)	(44, 38.34414226306245)	(46, 38.09067770979705)	(48, 37.8545831065773)	(50, 37.290664995692964)	(52, 37.24747646029837)	(54, 37.262812709225216)	(56, 37.02842972812087)	(58, 36.702672448009785)	(60, 36.330358907576326)	(62, 35.84095113411668)	(64, 35.256769796409)	(66, 34.66800792092644)	(68, 34.096592811407376)	(70, 33.52830627430822)	(72, 32.9340602881646)	(74, 32.38199678027472)	(76, 31.926129665289583)	(78, 31.46181973063838)	(80, 31.135490432281394)	(82, 30.85392626457703)	(84, 30.53035617538532)	(86, 30.24880655849509)	(88, 30.067700676592462)	(90, 29.828359850450536)	(92, 29.674520230132813)	(94, 29.659936769093157)	(96, 29.834926222844626)	(98, 30.394458569295747)	(100, 30.398967474425085)
chem1_chrI_1	(1, 33.37228962818004)	(2, 33.555538160469666)	(3, 33.623065883887804)	(4, 36.76631441617743)	(5, 36.74369210697978)	(6, 36.74917155903457)	(7, 36.72031311154599)	(8, 36.72678408349641)	(9, 38.67185909980431)	(10, 38.652028701891716)	(12, 38.635120678408356)	(14, 40.2853228962818)	(16, 40.227292889758644)	(18, 40.253020221787345)	(20, 40.217221135029355)	(22, 40.13483365949119)	(24, 40.05392041748206)	(26, 39.98795569839886)	(28, 40.035428337823085)	(30, 40.00464847557609)	(32, 39.917462239526536)	(34, 39.9514679879143)	(36, 39.90532909423814)	(38, 39.85910232417773)	(40, 39.77042416062835)	(42, 39.69404129887087)	(44, 39.59706040385083)	(46, 39.507067025235656)	(48, 39.36876995321378)	(50, 39.207604027534906)	(52, 39.01973653032889)	(54, 38.83332784146205)	(56, 38.62554581472294)	(58, 38.362706583878904)	(60, 38.0244273019572)	(62, 37.70563166993384)	(64, 37.25465718595417)	(66, 36.78157119092252)	(68, 36.28937689592372)	(70, 35.79467226591766)	(72, 35.285074578076)	(74, 34.783211288501576)	(76, 33.99310304876924)	(78, 34.04531409519328)	(80, 33.77193246489569)	(82, 33.50105907275125)	(84, 33.18289624074799)	(86, 32.95351707228227)	(88, 32.721110714451214)	(90, 32.5847655352165)	(92, 32.427642660537465)	(94, 32.307050676750954)	(96, 32.28912387651109)	(98, 32.39110500785803)	(100, 31.926369380320025)
chem1_chrI_2	(1, 33.34116112198304)	(2, 33.504527071102416)	(3, 33.57930854533594)	(4, 36.76213959556425)	(5, 36.73925636007828)	(6, 36.746953685583826)	(7, 36.704944553163735)	(8, 36.693124592302674)	(9, 38.573046314416175)	(10, 38.51452054794521)	(12, 38.45191128506197)	(14, 40.032915851272016)	(16, 39.99320287018917)	(18, 40.02829745596868)	(20, 39.98525766470972)	(22, 39.8791911285062)	(24, 39.79736464448793)	(26, 39.68525537855406)	(28, 39.63797560189636)	(30, 39.53579381595705)	(32, 39.39734134413747)	(34, 39.30611720211597)	(36, 39.1364389445923)	(38, 39.01480140168125)	(40, 38.88194588868276)	(42, 38.72370668700192)	(44, 38.53059617038196)	(46, 38.36535016337038)	(48, 38.11601841190165)	(50, 37.54017564404312)	(52, 37.50923456329608)	(54, 37.5320990752422)	(56, 37.31834125944638)	(58, 37.011143705144406)	(60, 36.648379640333395)	(62, 36.20032751650025)	(64, 35.646045381352614)	(66, 35.10716234835)	(68, 34.57344105373808)	(70, 34.026030058382716)	(72, 33.45853826405566)	(74, 32.942895431925294)	(76, 32.43497301295112)	(78, 31.954632414494135)	(80, 31.601228438679826)	(82, 31.33655906231907)	(84, 31.035221703936752)	(86, 30.766970047546746)	(88, 30.52978025032416)	(90, 30.365602119675657)	(92, 30.174655265404155)	(94, 30.086253569829317)	(96, 30.27009411547999)	(98, 30.696722675981896)	(100, 30.616059433516885)
chem2_chrI_1	(1, 33.387939442771724)	(2, 33.57134981552945)	(3, 33.6440566557822)	(4, 36.78582333234384)	(5, 36.767249056443745)	(6, 36.774246215173235)	(7, 36.72562656375896)	(8, 36.73688562826004)	(9, 38.696238497095116)	(10, 38.67999660743819)	(12, 38.66114668589118)	(14, 40.318519146770704)	(16, 40.26381408761291)	(18, 40.27697086637547)	(20, 40.25016962809041)	(22, 40.172405750392265)	(24, 40.10881641999915)	(26, 40.04904132121088)	(28, 40.06760788549286)	(30, 40.04037294874517)	(32, 39.98121700189479)	(34, 39.99838670008599)	(36, 39.93425149804808)	(38, 39.87457980852895)	(40, 39.80737582648395)	(42, 39.72148561064252)	(44, 39.630746469860085)	(46, 39.53456434004582)	(48, 39.41254280478962)	(50, 39.22835751436719)	(52, 39.03423332989587)	(54, 38.83796375563321)	(56, 38.621734016077156)	(58, 38.362583748482905)	(60, 38.029221769611105)	(62, 37.71750338901376)	(64, 37.256076473358846)	(66, 36.74977911988017)	(68, 36.24428055133068)	(70, 35.751834553954495)	(72, 35.25405495025326)	(74, 34.75474377122546)	(76, 33.92157028619636)	(78, 33.98296910216071)	(80, 33.656740809923974)	(82, 33.42887797768298)	(84, 33.10628228469169)	(86, 32.85558638573457)	(88, 32.61747413959728)	(90, 32.4441799233)	(92, 32.27241714779441)	(94, 32.185087215541785)	(96, 32.184572805773385)	(98, 32.26850226999106)	(100, 31.864886823898225)
chem2_chrI_2	(1, 33.364657987362705)	(2, 33.52559263814088)	(3, 33.60217972096179)	(4, 36.77757516644756)	(5, 36.758025529027606)	(6, 36.76040032229337)	(7, 36.716466646876725)	(8, 36.72291251431237)	(9, 38.5979602222128)	(10, 38.53472074975616)	(12, 38.475838598871974)	(14, 40.070968152326024)	(16, 40.03709554302192)	(18, 40.07562232305669)	(20, 40.03045884398456)	(22, 39.95625715618506)	(24, 39.86359781179763)	(26, 39.75221080032368)	(28, 39.71753604996755)	(30, 39.634495894149026)	(32, 39.52632557305998)	(34, 39.41567272454155)	(36, 39.27998076824956)	(38, 39.15402507710313)	(40, 39.03424880947439)	(42, 38.887229325534776)	(44, 38.71028017394856)	(46, 38.50500122391961)	(48, 38.29581126566784)	(50, 37.73552179343532)	(52, 37.75010426712235)	(54, 37.784963077365475)	(56, 37.56843191181759)	(58, 37.250343039630124)	(60, 36.87988957702689)	(62, 36.468799143495566)	(64, 35.92960634585707)	(66, 35.421754397648044)	(68, 34.87387805855997)	(70, 34.34872077129467)	(72, 33.78530938333221)	(74, 33.217211459131974)	(76, 32.718336010993085)	(78, 32.26165108980929)	(80, 31.878881916491157)	(82, 31.61177291506369)	(84, 31.19907495650991)	(86, 30.967442859227596)	(88, 30.802109787572128)	(90, 30.599912973879718)	(92, 30.39514139623512)	(94, 30.266999940074655)	(96, 30.421269097670645)	(98, 30.799765960741087)	(100, 30.756687973594907)
