Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
batch1_chrI_1	(24.0, 4.0)	(25.0, 13.0)	(26.0, 33.0)	(27.0, 65.0)	(28.0, 129.0)	(29.0, 181.0)	(30.0, 267.0)	(31.0, 404.0)	(32.0, 626.0)	(33.0, 1015.0)	(34.0, 1724.0)	(35.0, 3037.0)	(36.0, 6378.0)	(37.0, 14743.0)	(38.0, 13981.0)	(39.0, 1443.0)	(40.0, 7.0)				
batch1_chrI_2	(20.0, 1.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 10.0)	(24.0, 26.0)	(25.0, 44.0)	(26.0, 66.0)	(27.0, 103.0)	(28.0, 194.0)	(29.0, 280.0)	(30.0, 447.0)	(31.0, 744.0)	(32.0, 1206.0)	(33.0, 2150.0)	(34.0, 3760.0)	(35.0, 6530.0)	(36.0, 10412.0)	(37.0, 11863.0)	(38.0, 5574.0)	(39.0, 632.0)	(40.0, 3.0)
batch2_chrI_1	(23.0, 2.0)	(24.0, 4.0)	(25.0, 10.0)	(26.0, 39.0)	(27.0, 102.0)	(28.0, 188.0)	(29.0, 258.0)	(30.0, 387.0)	(31.0, 587.0)	(32.0, 1002.0)	(33.0, 1670.0)	(34.0, 2773.0)	(35.0, 4807.0)	(36.0, 9890.0)	(37.0, 20574.0)	(38.0, 15974.0)	(39.0, 1618.0)	(40.0, 15.0)			
batch2_chrI_2	(20.0, 1.0)	(21.0, 6.0)	(22.0, 3.0)	(23.0, 19.0)	(24.0, 20.0)	(25.0, 43.0)	(26.0, 75.0)	(27.0, 130.0)	(28.0, 253.0)	(29.0, 349.0)	(30.0, 573.0)	(31.0, 833.0)	(32.0, 1404.0)	(33.0, 2477.0)	(34.0, 4280.0)	(35.0, 7646.0)	(36.0, 12966.0)	(37.0, 18711.0)	(38.0, 9225.0)	(39.0, 882.0)	(40.0, 4.0)
batch3_chrI_1	(23.0, 2.0)	(24.0, 5.0)	(25.0, 14.0)	(26.0, 31.0)	(27.0, 71.0)	(28.0, 132.0)	(29.0, 198.0)	(30.0, 278.0)	(31.0, 405.0)	(32.0, 587.0)	(33.0, 1003.0)	(34.0, 1749.0)	(35.0, 3113.0)	(36.0, 6389.0)	(37.0, 15514.0)	(38.0, 15596.0)	(39.0, 1680.0)	(40.0, 8.0)			
batch3_chrI_2	(20.0, 1.0)	(21.0, 2.0)	(22.0, 2.0)	(23.0, 12.0)	(24.0, 31.0)	(25.0, 50.0)	(26.0, 77.0)	(27.0, 119.0)	(28.0, 186.0)	(29.0, 328.0)	(30.0, 460.0)	(31.0, 773.0)	(32.0, 1383.0)	(33.0, 2351.0)	(34.0, 4299.0)	(35.0, 7517.0)	(36.0, 11107.0)	(37.0, 12136.0)	(38.0, 5350.0)	(39.0, 589.0)	(40.0, 2.0)
chem1_chrI_1	(20.0, 1.0)	(21.0, 0.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 35.0)	(27.0, 57.0)	(28.0, 93.0)	(29.0, 164.0)	(30.0, 197.0)	(31.0, 363.0)	(32.0, 574.0)	(33.0, 922.0)	(34.0, 1514.0)	(35.0, 2759.0)	(36.0, 5624.0)	(37.0, 12459.0)	(38.0, 12253.0)	(39.0, 1288.0)	(40.0, 7.0)
chem1_chrI_2	(20.0, 1.0)	(21.0, 0.0)	(22.0, 3.0)	(23.0, 5.0)	(24.0, 13.0)	(25.0, 24.0)	(26.0, 64.0)	(27.0, 92.0)	(28.0, 128.0)	(29.0, 248.0)	(30.0, 382.0)	(31.0, 602.0)	(32.0, 956.0)	(33.0, 1761.0)	(34.0, 3179.0)	(35.0, 5671.0)	(36.0, 8703.0)	(37.0, 10500.0)	(38.0, 5507.0)	(39.0, 484.0)	(40.0, 2.0)
chem2_chrI_1	(21.0, 1.0)	(22.0, 0.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 12.0)	(26.0, 24.0)	(27.0, 54.0)	(28.0, 119.0)	(29.0, 191.0)	(30.0, 307.0)	(31.0, 424.0)	(32.0, 656.0)	(33.0, 1067.0)	(34.0, 1891.0)	(35.0, 3372.0)	(36.0, 7157.0)	(37.0, 15773.0)	(38.0, 14691.0)	(39.0, 1401.0)	(40.0, 18.0)	
chem2_chrI_2	(20.0, 1.0)	(21.0, 0.0)	(22.0, 9.0)	(23.0, 12.0)	(24.0, 20.0)	(25.0, 27.0)	(26.0, 54.0)	(27.0, 112.0)	(28.0, 168.0)	(29.0, 246.0)	(30.0, 413.0)	(31.0, 663.0)	(32.0, 1130.0)	(33.0, 2108.0)	(34.0, 3542.0)	(35.0, 6360.0)	(36.0, 10517.0)	(37.0, 13868.0)	(38.0, 7330.0)	(39.0, 579.0)	(40.0, 3.0)
