Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
batch1_chrI_1	46.36095346197503	43.0	97.62844494892168	100	10.0	0.04405
batch1_chrI_2	45.12826333711691	43.0	90.25968217934165	98	10.0	0.04405
batch2_chrI_1	50.02838063439065	43.0	96.91696160267112	100	20.0	0.059899999999999995
batch2_chrI_2	49.13021702838063	43.0	92.6828714524207	100	10.0	0.059899999999999995
batch3_chrI_1	48.31854623196152	43.0	97.73604489577765	100	10.0	0.046775
batch3_chrI_2	46.41582041688936	43.0	89.54371993586318	96	10.0	0.046775
chem1_chrI_1	41.382909328114806	43.0	97.5444357469015	100	10.0	0.038325
chem1_chrI_2	40.461839530332675	43.0	91.05128506196999	98	10.0	0.038325
chem2_chrI_1	47.92417624358593	43.0	97.6757347016666	100	10.0	0.047161999999999996
chem2_chrI_2	46.52898519994911	43.0	92.15713922225521	100	10.0	0.047161999999999996
chem3_chrI_1	48.75406664908116	43.0	97.76598083179461	100	10.0	0.056865
chem3_chrI_2	47.66376505759254	43.0	91.82253583047569	100	10.0	0.056865
